,Process area,Level 1 Process,Module,Sub Process,Level 1 Process_code,Module_code,Sub Process_code
233,R2R,capitalprojectaccouting,ps,nan,0,33,24
234,R2R,vendorinvoicing,ap,nan,14,1,24
235,R2R,generalaccounting,gl,nan,5,17,24
236,R2R,vendorinvoicing,mm,nan,14,29,24
237,R2R,collections&disputemanagement,ar,nan,1,6,24
238,R2R,customerinvoicing&ar(mbil),sd,customerinvoicing,3,41,10
239,R2R,fixedasset&projectaccounting,ps,capitalprojectaccounting,4,33,7
240,R2R,generalaccountingconsolidation&reporting,gl,generalaccounting,6,17,14
241,R2R,customerinvoicing&ar(mbil),ar,accountsreceivable&incomingpayments,3,6,3
242,R2R,vendorinvoicing&ap,ap,vendorinvoicing,15,1,38
243,R2R,misc,sd,sd,10,41,34
244,R2R,fixedasset&projectaccounting,ps,capitalplanning&projectapproval,4,33,6
245,R2R,generalaccountingconsolidation&reporting,co,costaccounting&control,6,10,8
246,R2R,fixedasset&projectaccounting,ps,projectaccountingforenvironmentalremediation,4,33,30
247,R2R,managetaxes,tax,vendorinvoicing,9,43,38
248,R2R,vendorinvoicing&ap,ap,vendormaintenance,15,1,39
249,R2R,managetaxes,tax,1099taxwithholding/reporting,9,43,0
250,R2R,generalaccountingconsolidation&reporting,mm,inventoryaccounting,6,29,19
251,R2R,treasuryoperations,tr,bankmanagement,13,44,5
252,R2R,customerinvoicing&ar(mbil),sd,inventoryaccounting,3,41,19
253,R2R,generalaccountingconsolidation&reporting,gl,inventoryaccounting,6,17,19
254,R2R,hcm,hr,hcm,7,21,15
255,R2R,managementcostaccounting,co,costaccounting&control,8,10,8
256,R2R,sourcetopay,mm,servicemanagement,12,29,35
257,R2R,sourcetopay,im,inventorymanagement,12,22,20
258,R2R,vendorinvoicing&ap,ap,payablesandoutgoingpayments,15,1,27
259,R2R,vendorinvoicing&ap,ap,1099withholdingtax,15,1,1
260,R2R,misc,sd,misc,10,41,23
261,R2R,misc,misc,misc,10,28,23
262,R2R,misc,ap,nan,10,1,24
263,R2R,misc,gl,misc,10,17,23
264,R2R,misc,ap,misc,10,1,23
265,R2R,sourcetopay,srm,purchaseorder,12,42,31
266,R2R,fixedasset&projectaccounting,sd,capitalprojectaccounting,4,41,7
267,R2R,customerinvoicing&ar(mbil),sd,customerinvoicing,3,41,10
268,R2R,customerinvoicing&ar(mbil),ar,accountsreceivables&incomingpayments,3,6,4
269,R2R,nan,misc,nan,11,28,24
270,R2R,vendorinvoicing&ap,ap,payables&outgoingpayables,15,1,26
271,R2R,generalaccountingconsolidation&reporting,fi,generalaccounting,6,16,14
272,R2R,managementcostaccounting,co,costaccouting&control,8,10,9
273,R2R,treasuryoperations,tr,bankmanagement,13,44,5
274,R2R,managetaxes,tx,indirecttaxes-sales&ustax,9,49,17
275,R2R,vendorinvoicing&ap,misc,inventoryaccounting,15,28,19
276,R2R,fixedasset&projectaccounting,tx,projectaccounting&envremediation,4,49,29
277,R2R,vendorinvoicing&ap,masterdata,vendormaintenance,15,27,39
278,R2R,customerinvoicing&ar(mbil),ar,receivables&incomingpayments,3,6,32
279,R2R,vendorinvoicing&ap,advancedshippingnotification,vendorinvoicing,15,0,38
280,R2R,vendorinvoicing&ap,lpb-utilityinvoicesfromlpb,vendorinvoicing,15,26,38
281,R2R,fixedasset&projectaccounting,tsar-createproject,capitalprojectaccounting,4,46,7
282,R2R,customerinvoicing&ar(mbil),ttx-carrepairreceivable,customerinvoicing,3,48,10
283,R2R,fixedasset&projectaccounting,powerplant-glrecon-fromsap,capitalprojectaccounting,4,32,7
284,R2R,customerinvoicing&ar(mbil),jointfacilities-jointfacilityinvoicedetails,customerinvoicing,3,24,10
285,R2R,generalaccountingconsolidation&reporting,glfeedersystem-320bytes-changerequest400-parent,generalaccounting,6,18,14
286,R2R,fixedasset&projectaccounting,tsar-damagecosts,capitalprojectaccounting,4,47,7
287,R2R,generalaccountingconsolidation&reporting,apcdeck-03nec(naturalexpensecodes),generalaccounting,6,3,14
288,R2R,generalaccountingconsolidation&reporting,apcdeck-13costcentergroups,generalaccounting,6,4,14
289,R2R,generalaccountingconsolidation&reporting,apcdeck-59glacctsbycompany,generalaccounting,6,5,14
290,R2R,customerinvoicing&ar(mbil),rpms-arnotes,accountsreceivable&incomingpayment,3,38,2
291,R2R,customerinvoicing&ar(mbil),rpms-arcustomerdata,customermaintenance&managecredit,3,37,11
292,R2R,customerinvoicing&ar(mbil),rpms-arreceivableopen&closed,accountsreceivable&incomingpayment,3,40,2
293,R2R,customerinvoicing&ar(mbil),rpms-arpaymentdata,accountsreceivable&incomingpayment,3,39,2
294,R2R,fixedasset&projectaccounting,powerplant-createproject-saphost,capitalprojectaccounting,4,31,7
295,R2R,vendorinvoicing&ap,vendormasterextracttoheritagesystems-parent,vendormaintenance,15,55,39
296,R2R,vendorinvoicing&ap,wachovia-clearedcheckprocessing,payable&outgoingpayments,15,56,25
297,R2R,vendorinvoicing&ap,communicationsandsignals-toadfeedtopaymentvalidationsystem(inremedy),payable&outgoingpayments,15,11,25
298,R2R,customerinvoicing&ar(mbil),creditcard-invoicevalidationwebservice-saphost,customerinvoicing,3,15,10
299,R2R,customerinvoicing&ar(mbil),rpms-aragreementincreaseinformation,accountsreceivable&incomingpayment,3,35,2
300,R2R,customerinvoicing&ar(mbil),rpms-aragreementinvoicehistoryw/accounting,accountsreceivable&incomingpayment,3,36,2
301,R2R,customerinvoicing&ar(mbil),rpms-aragreementdetails,accountsreceivable&incomingpayment,3,34,2
302,R2R,vendorinvoicing&ap,jointfacilities-sendinvoicestatusfile,vendorinvoicing,15,25,38
303,R2R,customerinvoicing&ar(mbil),citibank-customerportal-openinvoicesload,customerinvoicing,3,9,10
304,R2R,customerinvoicing&ar(mbil),citibank-customerportal-customermasterf/m,customermaintenance&managecredit,3,8,11
305,R2R,customerinvoicing&ar(mbil),createcustomermasterdatafrominformixtoecc,customermaintenance&managecredit,3,12,11
306,R2R,customerinvoicing&ar(mbil),updatecustomermasterdatafromecctoinformix,customermaintenance&managecredit,3,51,11
307,R2R,vendorinvoicing&ap,createvendorinvoicedatafrominformixtoecc,vendorinvoicing,15,14,38
308,R2R,vendorinvoicing&ap,updatevendorinvoicedatafromecctoinformix,vendorinvoicing,15,54,38
309,R2R,customerinvoicing&ar(mbil),updatecustomerbalancedatafromecctoinformix,customermaintenance&managecredit,3,50,11
310,R2R,customerinvoicing&ar(mbil),updateinvoicebalancedatafromecctoinformix,customerinvoicing,3,52,10
311,R2R,customerinvoicing&ar(mbil),createsalesinvoicedatafrominformixtoecc,customerinvoicing,3,13,10
312,R2R,customerinvoicing&ar(mbil),updatesalesinvoicedatafromecctoinformix,customerinvoicing,3,53,10
313,R2R,generalaccountingconsolidation&reporting,glmasterdata&costcenterinterface,generalaccounting,6,19,14
314,R2R,vendorinvoicing&ap,invoices,vendorinvoicing,15,23,38
315,R2R,generalaccountingconsolidation&reporting,apcdeck-02costcenters-parent,generalaccounting,6,2,14
316,R2R,vendorinvoicing&ap,apcdeck-02costcenters-parent,vendorinvoicing,15,2,38
317,R2R,managementcostaccounting,co,costaccounting&control,8,10,8
318,R2R,vendorinvoicing&ap,ap,payable&outgoingpayments,15,1,25
319,R2R,vendorinvoicing&ap,mm,vendorinvoicing,15,29,38
320,R2R,customerinvoicing&ar,sd,customerinvoicing,2,41,10
321,R2R,customerinvoicing&ar,ps,customerinvoicing,2,33,10
322,R2R,fixedasset&projectaccounting,co,projectaccounting&env.remediation,4,10,28
323,R2R,nan,nan,nan,11,30,24
324,R2R,customerinvoicing&ar(mbil),fi,reporting,3,16,33
325,R2R,vendorinvoicing&ap,ap,inventoryaccounting,15,1,19
326,R2R,customerinvoicing&ar(mbil),ar,customerinvoicing,3,6,10
327,R2R,customerinvoicing&ar(mbil),ar,customermaintenance&managecredit,3,6,11
328,R2R,vendorinvoicing&ap,ap,1099taxwithholding/reporting,15,1,0
329,R2R,vendorinvoicing&ap,mm,inventoryaccounting,15,29,19
330,R2R,customerinvoicing&ar(mbil),ar,reporting,3,6,33
331,R2R,managementcostaccounting,co,costaccounting&control,8,10,8
332,R2R,fixedasset&projectaccounting,im,projectaccountingforenvironmentalremediation,4,22,30
333,R2R,misc,basis,nan,10,7,24
334,R2R,managetaxes,tax,indirecttaxes-sales&usetax,9,43,16
335,R2R,generalaccountingconsolidation&reporting,tax,externalauditcompliance,6,43,13
336,R2R,fixedasset&projectaccounting,ps,customerinvoicing,4,33,10
337,R2R,customerinvoicing&ar(mbil),sd,reporting,3,41,33
338,R2R,vendorinvoicing&ap,fi,travel&purchasecard,15,16,37
339,R2R,generalaccountingconsolidation&reporting,gl,internalauditcompliance,6,17,18
340,R2R,vendorinvoicing&ap,ap,reporting,15,1,33
341,R2R,fixedasset&projectaccounting,gl,generalaccounting,4,17,14
342,R2R,customerinvoicing&ar(mbil),ar,bankmanagement,3,6,5
343,R2R,vendorinvoicing&ap,ap,supplierinvoicingandpayments,15,1,36
344,R2R,vendorinvoicing&ap,hcm,travel&purchasecard,15,20,37
345,R2R,vendorinvoicing&ap,travel,travel&purchasecard,15,45,37
346,R2R,vendorinvoicing&ap,ap,misc,15,1,23
347,R2R,customerinvoicing&ar(mbil),ar,lockboxintegration,3,6,21
348,R2R,vendorinvoicing&ap,gl,1099taxwithholding/reporting,15,17,0
349,R2R,fixedasset&projectaccounting,ps,directtaxpropertytax,4,33,12
350,R2R,generalaccountingconsolidation&reporting,co,generalaccounting,6,10,14
351,R2R,customerinvoicing&ar(mbil),co,customerinvoicing,3,10,10
352,R2R,vendorinvoicing&ap,ap,travel&purchasecard,15,1,37
353,R2R,managementcostaccounting,co,managementreporting,8,10,22
354,R2R,treasuryoperations,gl,bankmanagement,13,17,5
355,R2R,misc,misc,nan,10,28,24
